id	type	decomp1	decomp2	decomp3	decomp4	decomp5
狩衣	compound	狩り	衣			
玉垂れ	compound	玉	垂る			
玉津島	compound	玉津	島			
玉葛	compound	玉	葛			
玉藻	compound	珠	藻			
玉襷	compound	珠	襷			
現し心	compound	現	心			
田蓑	compound	田	蓑			
男山	compound	男	山			
白山	compound	白	山			
白檀弓	compound	白	真	弓		
白河	compound	白	河			
白浪	compound	白	波			
白玉	compound	白	珠			
白糸	compound	白	糸			
白菊	compound	白	菊			
白雪	compound	白	雪			
白雲	compound	白	雲			
白露	compound	白	露			
百羽掻き	compound	百	羽	掻く		
相坂山	compound	逢坂	山			
真弓	compound	真	弓			
真菰	compound	真	菰			
睦言	compound	睦まし	言			
石間	compound	石	間			
磯菜	compound	磯	菜			
磯辺	compound	磯	辺			
神垣	compound	神	垣			
神奈備山	compound	神奈備	山			
秋田	compound	秋	田			
秋萩	compound	秋	萩			
秋霧	compound	秋	霧			
秋風	compound	秋	風			
移り香	compound	移る	香			
稲舟	compound	稲	舟			
稲葉	compound	稲	葉			
空五倍子染め	compound	空五倍子	染む			
立田姫	compound	立田	姫			
立田山	compound	立田	山			
立田河	compound	立田	川			
竜田河	compound	立田	川			
笠取山	compound	笠取	山			
笠結ひ	compound	笠	結ふ			
筑波嶺	compound	筑波	嶺			
篝火	compound	篝	火			
篠原	compound	篠	原			
篠薄	compound	篠	薄			
糸筋	compound	糸	筋			
紅葉葉	compound	紅葉	葉			
置き所	compound	置く	所			
美濃国	compound	美濃	の	国		
群鳥	compound	群	鳥			
羽風	compound	羽	風			
色香	compound	色	香			
花桜	compound	花	桜			
花橘	compound	花	橘			
花笠	compound	花	笠			
花筐	compound	花	筐			
花色衣	compound	花	色	衣		
花薄	compound	花	薄			
若草	compound	若し	草			
若菜	compound	若し	菜			
若菰	compound	若し	菰			
草木	compound	草	木			
草葉	compound	草	葉			
菅原	compound	菅	原			
菖蒲草	compound	菖蒲	草			
萩原	compound	萩	原			
葛城山	compound	葛城	山			
葦辺	compound	葦	辺			
葦鶴	compound	葦	鶴			
蓮葉	compound	蓮	葉			
藁火	compound	藁	火			
藤波	compound	藤	波			
藤浪	compound	藤	波			
藤衣	compound	藤	衣			
藤袴	compound	藤	袴			
藻屑	compound	藻	屑			
蘆垣	compound	蘆	垣			
蘆鴨	compound	葦	鴨			
蘆鶴	compound	葦	鶴			
行き交ひ路	compound	行く	交ふ	路		
行き来	compound	行く	来			
行方	compound	行く	方			
谷風	compound	谷	風			
越の国	compound	越	の	国		
越路	compound	越	路			
通ひ路	compound	通ふ	路			
遠ざかる	compound	遠し	離かる			
遠方人	compound	遠方	人			
遠近	compound	遠方	此方			
都人	compound	都	人			
都鳥	compound	都	鳥			
野守	compound	野	守る			
野風	compound	野	風			
釣縄	compound	釣る	縄			
釣舟	compound	釣る	舟			
鏡山	compound	鏡	山			
長雨	compound	長し	雨			
隠れ家	compound	隠る	家			
隠れ沼	compound	隠る	沼			
難波潟	compound	難波	潟			
雪消	compound	雪	消ゆ			
雪間	compound	雪	間			
霜夜	compound	霜	夜			
露霜	compound	露	霜			
青柳	compound	青	柳			
青葛	compound	青	葛			
静心	compound	静かなり	心			
音羽山	compound	音羽	山			
音羽河	compound	音羽	河			
頬杖	compound	頬	杖			
飛鳥河	compound	飛鳥	河			
鹿背山	compound	鹿背	山			
黒髪	compound	黒	髪			
